date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:29	297/297	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202024%2015:39:29%20GMT	http://localhost:8080/robots.txt		(from )
17:39:35	182875/182875	U--MC-	200	updated ('OK')	text/html	date:Sun,%2031%20Mar%202024%2015:39:29%20GMT	http://localhost:8080/portfolio/	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/index.html	(from )
17:39:35	24973/24973	U-----	200	untouched ('OK')	text/css	etag:%22618d-614df54781d17%22	http://localhost:8080/portfolio/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.21711801594	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/chaty/css/chaty-front.min6a1f.css	(from http://localhost:8080/portfolio/)
17:39:35	1901/1901	U-----	200	untouched ('OK')	text/css	etag:%2276d-61376de6f7172%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1//assets/css/blocks.css?ver=6.4.3	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/blocks84fc.css	(from http://localhost:8080/portfolio/)
17:39:36	34399/34399	U-----	200	untouched ('OK')	text/css	etag:%22865f-61376dfb9d725%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/v4-shims.min.css?ver=5.11.2	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/v4-shims.minaec5.css	(from http://localhost:8080/portfolio/)
17:39:36	56590/56590	U-----	200	untouched ('OK')	text/css	etag:%22dd0e-61376dfb9cf57%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/all.min.css?ver=5.11.2	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/admin/assets/css/font-awesome/css/all.minaec5.css	(from http://localhost:8080/portfolio/)
17:39:36	25090/25090	U-----	200	untouched ('OK')	text/css	etag:%226202-61376dfbc7a89%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/admin/fields/codevz_fields/icons/czicons.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/admin/fields/codevz_fields/icons/czicons946e.css	(from http://localhost:8080/portfolio/)
17:39:37	2894/2894	U-----	200	untouched ('OK')	text/css	etag:%22b4e-61376e1c3dbd2%22	http://localhost:8080/portfolio/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.2	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/contact-form-7/includes/css/styles6dcf.css	(from http://localhost:8080/portfolio/)
17:39:37	7043/7043	U-----	200	untouched ('OK')	text/css	etag:%221b83-61376e35ce994%22	http://localhost:8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.6.1	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9b80.css	(from http://localhost:8080/portfolio/)
17:39:37	17688/17688	U-----	200	untouched ('OK')	text/css	etag:%224518-61376e35c939c%22	http://localhost:8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.6.1	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9b80.css	(from http://localhost:8080/portfolio/)
17:39:38	75125/75125	U-----	200	untouched ('OK')	text/css	etag:%2212575-61376e35c4970%22	http://localhost:8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.6.1	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/woocommerce/assets/css/woocommerce9b80.css	(from http://localhost:8080/portfolio/)
17:39:38	92285/92285	U-----	200	untouched ('OK')	text/css	etag:%221687d-61376de6fd309%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core946e.css	(from http://localhost:8080/portfolio/)
17:39:38	182/182	U-----	200	untouched ('OK')	text/css	etag:%22b6-61376de6fb7b7%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-laptop.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-laptop946e.css	(from http://localhost:8080/portfolio/)
17:39:38	24340/24340	U-----	200	untouched ('')	application/rss+xml	etag:%229de129f5155136ae13ff68358b43e271%22	http://localhost:8080/portfolio/feed/	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/feed/index.html	(from http://localhost:8080/portfolio/)
17:39:38	2652/2652	U-----	200	untouched ('')	application/rss+xml	etag:%229de129f5155136ae13ff68358b43e271%22	http://localhost:8080/portfolio/comments/feed/	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/comments/feed/index.html	(from http://localhost:8080/portfolio/)
17:39:38	1562/1562	U-----	200	untouched ('OK')	text/css	etag:%2261a-61376de6fcb3b%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-tablet.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-tablet946e.css	(from http://localhost:8080/portfolio/)
17:39:40	8798/8798	U-----	200	untouched ('OK')	text/css	etag:%22225e-61376de6ffdfd%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/loading.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/loading946e.css	(from http://localhost:8080/portfolio/)
17:39:40	28897/28897	U-----	200	untouched ('OK')	text/css	etag:%2270e1-61376dfbf7f87%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/assets/css/woocommerce.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/assets/css/woocommerce946e.css	(from http://localhost:8080/portfolio/)
17:39:40	936/936	U-----	200	untouched ('OK')	text/css	etag:%223a8-61376dfbf77b8%22	http://localhost:8080/portfolio/wp-content/plugins/codevz-plus/assets/css/share.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/plugins/codevz-plus/assets/css/share946e.css	(from http://localhost:8080/portfolio/)
17:39:40	2567/2567	U-----	200	untouched ('OK')	text/css	etag:%22a07-61376de6fc757%22	http://localhost:8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-mobile.css?ver=4.4.7	C:/My%20Web%20Sites/portfolio-latest/localhost_8080/portfolio/wp-content/themes/Xtra-4.4.7_working_with_all_demos-1/assets/css/core-mobile946e.css	(from http://localhost:8080/portfolio/)
